date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:39	8707/8707	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2006:24:39%20GMT	http://slimhamdi.net/tunis/dark/index.html	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/index.html	(from )
11:54:40	537/537	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2006%20Jan%202021%2006:24:40%20GMT	http://slimhamdi.net/robots.txt		(from )
11:54:43	842/842	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:34%20GMT	http://slimhamdi.net/tunis/dark/css/preloader.min.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/preloader.min.css	(from http://slimhamdi.net/tunis/dark/index.html)
11:54:43	159515/159515	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:34%20GMT	http://slimhamdi.net/tunis/dark/css/bootstrap.min.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/bootstrap.min.css	(from http://slimhamdi.net/tunis/dark/index.html)
11:54:44	27049/27049	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:32%20GMT	http://slimhamdi.net/tunis/dark/css/circle.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/circle.css	(from http://slimhamdi.net/tunis/dark/index.html)
11:54:45	31000/31000	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:33%20GMT	http://slimhamdi.net/tunis/dark/css/font-awesome.min.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/font-awesome.min.css	(from http://slimhamdi.net/tunis/dark/index.html)
11:54:45	1261/1261	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:32%20GMT	http://slimhamdi.net/tunis/dark/css/fm.revealator.jquery.min.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/fm.revealator.jquery.min.css	(from http://slimhamdi.net/tunis/dark/index.html)
11:54:46	29835/29835	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2016:49:50%20GMT	http://slimhamdi.net/tunis/dark/css/style.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/style.css	(from http://slimhamdi.net/tunis/dark/index.html)
11:54:49	2606/2606	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:56%20GMT	http://slimhamdi.net/tunis/dark/css/skins/yellow.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/skins/yellow.css	(from http://slimhamdi.net/tunis/dark/index.html)
11:54:49	2604/2604	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:55%20GMT	http://slimhamdi.net/tunis/dark/css/skins/blue.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/skins/blue.css	(from http://slimhamdi.net/tunis/dark/index.html)
11:54:50	2620/2620	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20May%202020%2014:11:55%20GMT	http://slimhamdi.net/tunis/dark/css/skins/green.css	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/css/skins/green.css	(from http://slimhamdi.net/tunis/dark/index.html)
